TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription
999,152729,Monday,82179621436.0,1,MENS WEAR
39,40415,Thursday,30132020142.0,1,PHARMACY OTC
39,100451,Sunday,7874235258.0,1,GROCERY DRY GOODS
33,138629,Saturday,7874211462.0,10,HOUSEHOLD PAPER GOODS
40,52356,Saturday,4000044148.0,1,IMPULSE MERCHANDISE
8,38354,Thursday,1200080994.0,1,DSD GROCERY
32,24464,Monday,78665841226.0,1,INFANT APPAREL
999,186217,Sunday,4305.0,1,PRODUCE
37,24076,Monday,4051.0,1,PRODUCE
40,22267,Monday,3770032226.0,1,HOUSEHOLD PAPER GOODS
39,145453,Sunday,85303000210.0,1,PHARMACY OTC
36,74434,Tuesday,3700090630.0,1,PERSONAL CARE
26,67113,Monday,3920897565.0,1,HARDWARE
36,86519,Thursday,88859694414.0,1,MENS WEAR
39,129541,Thursday,4650076196.0,1,HOUSEHOLD CHEMICALS/SUPP
25,167006,Thursday,72654752563.0,1,LADIESWEAR
40,139425,Saturday,4369555711.0,2,FROZEN FOODS
39,94598,Saturday,1370008850.0,1,HOUSEHOLD PAPER GOODS
40,49903,Saturday,8259272764.0,1,PRODUCE
40,135568,Friday,60308426768.0,1,PERSONAL CARE
40,33589,Wednesday,70463996002.0,1,MEAT - FRESH & FROZEN
40,121563,Wednesday,3800039122.0,1,GROCERY DRY GOODS
39,114034,Tuesday,3620000550.0,1,GROCERY DRY GOODS
40,149606,Sunday,4145727255.0,1,PERSONAL CARE
40,88701,Friday,4319422291.0,1,PERSONAL CARE
40,179171,Saturday,5000016001.0,1,GROCERY DRY GOODS
25,33181,Wednesday,20554800000.0,1,SERVICE DELI
5,64263,Monday,74982654513.0,1,PHARMACY OTC
40,35797,Wednesday,5100002549.0,1,GROCERY DRY GOODS
20,187280,Sunday,31101766317.0,1,PHARMACY OTC
9,133347,Friday,72783384816.0,1,JEWELRY AND SUNGLASSES
44,35595,Wednesday,2840000290.0,1,DSD GROCERY
40,145141,Sunday,7152401767.0,1,GROCERY DRY GOODS
42,171337,Thursday,7650193237.0,1,SPORTING GOODS
39,184798,Sunday,7533866429.0,1,MENS WEAR
39,67263,Monday,4316868493.0,1,HARDWARE
7,40903,Thursday,60308429404.0,1,PERSONAL CARE
29,18017,Sunday,4650073335.0,1,HOUSEHOLD CHEMICALS/SUPP
40,146789,Sunday,7373107004.0,1,COMM BREAD
9,63849,Monday,3920897565.0,1,HARDWARE
40,165975,Wednesday,8000000670.0,1,GROCERY DRY GOODS
25,67695,Monday,4856406700.0,1,COMM BREAD
40,171095,Thursday,3663203646.0,1,DAIRY
40,94535,Saturday,7800000972.0,1,DSD GROCERY
40,169350,Thursday,3500055500.0,1,PERSONAL CARE
40,41508,Thursday,66072653902.0,1,PHARMACY OTC
32,176510,Friday,7874206759.0,1,INFANT CONSUMABLE HARDLINES
39,52875,Saturday,7874205334.0,1,FROZEN FOODS
39,107455,Monday,2100002650.0,1,GROCERY DRY GOODS
39,7131,Saturday,7874207710.0,1,GROCERY DRY GOODS
40,132562,Friday,7146410017.0,1,PRODUCE
24,187976,Sunday,3429904588.0,1,BATH AND SHOWER
40,73100,Tuesday,7056095011.0,1,FROZEN FOODS
40,153384,Monday,4062.0,1,PRODUCE
36,61413,Sunday,3320018626.0,1,PERSONAL CARE
42,67145,Monday,82513101563.0,1,TOYS
40,32467,Wednesday,4011.0,1,PRODUCE
35,41554,Thursday,7208000260.0,1,DSD GROCERY
40,116063,Tuesday,3600042255.0,1,INFANT CONSUMABLE HARDLINES
40,128983,Thursday,7192195259.0,1,FROZEN FOODS
37,83306,Thursday,7874235296.0,1,GROCERY DRY GOODS
40,49603,Saturday,4450032955.0,1,PRE PACKED DELI
39,97253,Saturday,31254717031.0,1,PHARMACY OTC
40,61345,Sunday,980012301.0,1,IMPULSE MERCHANDISE
40,158401,Tuesday,7874235192.0,1,DSD GROCERY
40,180394,Saturday,4900001938.0,1,DSD GROCERY
39,183502,Saturday,30997869574.0,3,PERSONAL CARE
35,95793,Saturday,2840020131.0,1,DSD GROCERY
40,131840,Friday,1370081430.0,1,HOUSEHOLD PAPER GOODS
40,133778,Friday,3496937852.0,2,HOUSEHOLD CHEMICALS/SUPP
33,104877,Sunday,3338365020.0,-1,PRODUCE
37,189315,Sunday,7432300230.0,1,COMM BREAD
39,84847,Thursday,30521014301.0,1,BEAUTY
39,36866,Wednesday,4400001251.0,1,DSD GROCERY
40,181194,Saturday,3940001594.0,1,GROCERY DRY GOODS
40,105382,Sunday,4127102488.0,1,DAIRY
32,40608,Thursday,72326163276.0,1,SHOES
40,58560,Sunday,3800039122.0,1,GROCERY DRY GOODS
39,104983,Sunday,2100002339.0,1,GROCERY DRY GOODS
3,109381,Monday,68113163353.0,1,FINANCIAL SERVICES
39,155384,Monday,3500051200.0,1,PERSONAL CARE
39,190575,Sunday,7874204974.0,1,HOUSEHOLD CHEMICALS/SUPP
38,191273,Sunday,7874235186.0,3,DAIRY
30,13607,Sunday,85671800046.0,1,SHOES
24,88989,Friday,72722341896.0,1,CELEBRATION
30,13265,Sunday,88774632224.0,1,JEWELRY AND SUNGLASSES
37,64950,Monday,4133103784.0,1,GROCERY DRY GOODS
37,93466,Saturday,4693.0,1,PRODUCE
39,186682,Sunday,7050102373.0,1,BEAUTY
40,35174,Wednesday,7349120200.0,1,DAIRY
3,64605,Monday,68113163351.0,1,FINANCIAL SERVICES
40,124687,Wednesday,4100001480.0,2,GROCERY DRY GOODS
36,41741,Thursday,2471930324.0,4,HORTICULTURE AND ACCESS
43,174302,Friday,3927822010.0,1,PHARMACY OTC
39,71539,Tuesday,2360187020.0,1,PHARMACY OTC
44,125951,Thursday,8273400109.0,1,"LIQUOR,WINE,BEER"
40,23898,Monday,7874201855.0,1,HOUSEHOLD CHEMICALS/SUPP
5,162240,Wednesday,,1,PHARMACY RX
41,60061,Sunday,3920896719.0,1,HARDWARE
37,175294,Friday,7874202592.0,1,DAIRY
35,128558,Thursday,4300005905.0,1,DSD GROCERY
22,50859,Saturday,3461312100.0,1,LAWN AND GARDEN
999,176661,Friday,87458603436.0,2,IMPULSE MERCHANDISE
35,159576,Tuesday,6827473529.0,1,DSD GROCERY
25,9431,Saturday,88530637614.0,1,MENS WEAR
8,88943,Friday,68113168757.0,1,PHARMACY OTC
43,17771,Sunday,1440060000.0,1,HOME MANAGEMENT
36,106295,Sunday,68113104840.0,1,BEAUTY
31,28253,Tuesday,4385968278.0,-1,WIRELESS
39,68575,Monday,4400003223.0,1,DSD GROCERY
39,159310,Tuesday,1204403969.0,1,PERSONAL CARE
39,103669,Sunday,4900001463.0,1,DSD GROCERY
42,144078,Sunday,7834278182.0,1,LAWN AND GARDEN
40,95192,Saturday,7061278004.0,1,AUTOMOTIVE
9,19229,Sunday,4339644309.0,1,MEDIA AND GAMING
40,85153,Thursday,7874222867.0,1,GROCERY DRY GOODS
40,166429,Wednesday,30521500700.0,1,PERSONAL CARE
40,48349,Friday,2500005126.0,1,DAIRY
39,25491,Monday,4400003211.0,1,IMPULSE MERCHANDISE
39,2090,Friday,5000010386.0,1,PETS AND SUPPLIES
40,7009,Saturday,3700086680.0,1,PERSONAL CARE
40,104143,Sunday,7287849523.0,1,GROCERY DRY GOODS
37,56959,Sunday,9518802128.0,1,DSD GROCERY
40,6891,Saturday,5100012773.0,1,DSD GROCERY
8,82919,Thursday,7874203951.0,1,HOUSEHOLD PAPER GOODS
40,180087,Saturday,2700069061.0,1,GROCERY DRY GOODS
39,157833,Tuesday,2100000109.0,1,DAIRY
999,7684,Saturday,7963695304.0,-1,FABRICS AND CRAFTS
40,96279,Saturday,7874222816.0,1,GROCERY DRY GOODS
40,94570,Saturday,4300001098.0,1,DSD GROCERY
42,136846,Friday,2120045844.0,1,IMPULSE MERCHANDISE
25,81095,Wednesday,70939083437.0,1,MENS WEAR
24,148675,Sunday,89010451206.0,1,BATH AND SHOWER
8,25896,Tuesday,2840016190.0,1,IMPULSE MERCHANDISE
40,8651,Saturday,2924300024.0,2,GROCERY DRY GOODS
44,77451,Wednesday,4601346069.0,1,HARDWARE
40,93552,Saturday,7874205081.0,1,HOUSEHOLD PAPER GOODS
9,4587,Friday,60538813993.0,1,SHOES
39,185637,Sunday,3137451266.0,1,BEDDING
36,35812,Wednesday,3700086423.0,2,PERSONAL CARE
42,22028,Monday,4269202912.0,1,CELEBRATION
39,38237,Thursday,1027977065.0,1,PETS AND SUPPLIES
999,147193,Sunday,2471930952.0,1,HORTICULTURE AND ACCESS
40,174700,Friday,5000004060.0,2,PETS AND SUPPLIES
20,135525,Friday,4900003165.0,1,DSD GROCERY
29,174309,Friday,4600028869.0,2,GROCERY DRY GOODS
8,167206,Thursday,8939615612.0,1,DSD GROCERY
20,7191,Saturday,7413000950.0,2,AUTOMOTIVE
42,119781,Wednesday,2590022726.0,2,"CANDY, TOBACCO, COOKIES"
40,144582,Sunday,4740015657.0,1,PERSONAL CARE
999,27841,Tuesday,68113191684.0,1,SERVICE DELI
42,123107,Wednesday,64541671811.0,1,CELEBRATION
15,48103,Friday,1117991596.0,1,CELEBRATION
35,68735,Monday,68113101660.0,1,PHARMACY OTC
39,35632,Wednesday,82926814989.0,1,LADIESWEAR
24,89930,Friday,88583700573.0,1,COOK AND DINE
40,188257,Sunday,7874243401.0,1,GROCERY DRY GOODS
40,19702,Sunday,4900002468.0,4,DSD GROCERY
39,107030,Monday,7874211481.0,1,HOUSEHOLD PAPER GOODS
37,156554,Tuesday,4050.0,1,PRODUCE
7,164971,Wednesday,4470036001.0,6,PRE PACKED DELI
30,55661,Saturday,88441006007.0,1,ACCESSORIES
40,6632,Saturday,2560000150.0,1,BAKERY
42,99683,Saturday,880619230015.0,1,"GIRLS WEAR, 4-6X  AND 7-14"
5,89662,Friday,30041669423.0,1,PERSONAL CARE
39,62591,Sunday,1200500575.0,1,HOUSEHOLD CHEMICALS/SUPP
40,156488,Tuesday,5450019322.0,1,PRE PACKED DELI
39,89527,Friday,7874203089.0,1,PRE PACKED DELI
36,43875,Friday,1200011044.0,1,DSD GROCERY
38,162344,Wednesday,7874211486.0,1,COMM BREAD
40,59990,Sunday,3010010032.0,1,DSD GROCERY
38,171933,Thursday,2800008040.0,1,"CANDY, TOBACCO, COOKIES"
39,189020,Sunday,3338370001.0,1,PRODUCE
26,98538,Saturday,7169146707.0,1,HOME MANAGEMENT
34,10927,Saturday,5000058568.0,1,PETS AND SUPPLIES
32,175299,Friday,68113110033.0,1,INFANT CONSUMABLE HARDLINES
35,33165,Wednesday,3400000440.0,1,IMPULSE MERCHANDISE
27,4594,Friday,75131503040.0,1,LAWN AND GARDEN
24,102788,Sunday,7169143216.0,1,HOME MANAGEMENT
21,146560,Sunday,82506302453.0,1,BATH AND SHOWER
40,65621,Monday,3500053030.0,1,HOUSEHOLD CHEMICALS/SUPP
40,77437,Wednesday,2833248094.0,1,COOK AND DINE
39,90289,Friday,4300000287.0,2,FROZEN FOODS
40,76883,Wednesday,3700085574.0,1,PERSONAL CARE
36,13402,Sunday,8087817207.0,1,PERSONAL CARE
39,142299,Saturday,4000042137.0,1,"CANDY, TOBACCO, COOKIES"
999,50029,Saturday,1527272814.0,-1,HOME MANAGEMENT
8,39916,Thursday,3400000243.0,1,IMPULSE MERCHANDISE
36,57940,Sunday,30997556430.0,1,BEAUTY
37,39191,Thursday,7874201300.0,1,DSD GROCERY
40,187773,Sunday,1111121648.0,1,PERSONAL CARE
38,79352,Wednesday,7432309090.0,1,COMM BREAD
40,102081,Sunday,61126913344.0,1,DSD GROCERY
5,32873,Wednesday,89103800100.0,1,PHARMACY OTC
38,69885,Tuesday,7066209632.0,2,GROCERY DRY GOODS
40,99590,Saturday,7756745832.0,1,FROZEN FOODS
40,58761,Sunday,60538818715.0,1,DAIRY
26,871,Friday,4468111972.0,1,PAINT AND ACCESSORIES
43,115012,Tuesday,20966500000.0,1,SERVICE DELI
38,94842,Saturday,5200033877.0,2,DSD GROCERY
39,161663,Wednesday,4000047652.0,3,IMPULSE MERCHANDISE
40,181676,Saturday,8265750080.0,1,DSD GROCERY
32,14576,Sunday,7603176656.0,1,MENS WEAR
6,73299,Tuesday,8066095615.0,1,"LIQUOR,WINE,BEER"
40,74005,Tuesday,88766191694.0,1,JEWELRY AND SUNGLASSES
40,163701,Wednesday,2370001119.0,2,FROZEN FOODS
40,59179,Sunday,3800057636.0,1,GROCERY DRY GOODS
33,13057,Sunday,2570070979.0,1,HOUSEHOLD CHEMICALS/SUPP
40,58529,Sunday,7874208962.0,1,DSD GROCERY
39,81097,Wednesday,1200080996.0,1,DSD GROCERY
999,39749,Thursday,7004877819.0,1,HOUSEHOLD CHEMICALS/SUPP
40,5752,Friday,69922162117.0,1,COMM BREAD
40,93081,Saturday,4300003418.0,1,GROCERY DRY GOODS
25,165501,Wednesday,1326264655.0,1,"GIRLS WEAR, 4-6X  AND 7-14"
39,139025,Saturday,2733100033.0,1,COMM BREAD
35,64416,Monday,2500005819.0,3,DSD GROCERY
44,164140,Wednesday,64541695147.0,1,CELEBRATION
25,140569,Saturday,880937758666.0,1,"GIRLS WEAR, 4-6X  AND 7-14"
8,93388,Saturday,2840020129.0,1,DSD GROCERY
35,125747,Thursday,2840043774.0,1,IMPULSE MERCHANDISE
5,90404,Friday,63165660478.0,1,PHARMACY OTC
36,92166,Friday,30065035604.0,1,PHARMACY OTC
39,52753,Saturday,20747800000.0,1,MEAT - FRESH & FROZEN
36,88847,Friday,4460000938.0,1,HOUSEHOLD CHEMICALS/SUPP
40,180641,Saturday,68113110112.0,1,PHARMACY OTC
8,175047,Friday,2430086541.0,1,COMM BREAD
40,62575,Sunday,4601345495.0,1,HARDWARE
37,62666,Sunday,68113174355.0,1,DAIRY
40,160781,Tuesday,4600082121.0,2,GROCERY DRY GOODS
21,155559,Monday,5000030162.0,1,GROCERY DRY GOODS
9,13749,Sunday,7603176657.0,1,MENS WEAR
29,116401,Tuesday,7874207582.0,1,PERSONAL CARE
39,10615,Saturday,4000048507.0,1,IMPULSE MERCHANDISE
37,73488,Tuesday,7373108310.0,1,DSD GROCERY
38,151717,Monday,3663203646.0,1,DAIRY
40,25213,Monday,60538871461.0,1,DAIRY
25,47785,Friday,1910017077.0,1,BEAUTY
40,23248,Monday,2781530042.0,1,PRE PACKED DELI
44,55244,Saturday,1780010213.0,1,PETS AND SUPPLIES
22,29757,Tuesday,7181506328.0,3,OFFICE SUPPLIES
5,182960,Saturday,63165670188.0,1,PHARMACY OTC
37,172063,Friday,4312.0,1,PRODUCE
8,169551,Thursday,7874235296.0,1,GROCERY DRY GOODS
40,185615,Sunday,7874210132.0,2,GROCERY DRY GOODS
39,132818,Friday,2840020131.0,2,DSD GROCERY
39,42131,Thursday,2700038249.0,1,GROCERY DRY GOODS
39,138134,Saturday,2100061542.0,1,GROCERY DRY GOODS
3,119782,Wednesday,60538887953.0,1,FINANCIAL SERVICES
24,182535,Saturday,83122317763.0,1,HOME DECOR
7,87221,Friday,20835100000.0,1,SERVICE DELI
39,67315,Monday,81809400300.0,1,DSD GROCERY
39,11885,Saturday,2529300099.0,1,DAIRY
40,91670,Friday,2840042210.0,1,DSD GROCERY
39,135631,Friday,2200001289.0,1,IMPULSE MERCHANDISE
39,182057,Saturday,4011.0,1,PRODUCE
36,36620,Wednesday,7478000009.0,1,DSD GROCERY
40,30284,Tuesday,3810053303.0,-2,PETS AND SUPPLIES
44,31165,Tuesday,4116700879.0,3,PHARMACY OTC
38,112692,Monday,2500004673.0,1,DAIRY
5,86517,Thursday,3746605625.0,1,IMPULSE MERCHANDISE
12,147084,Sunday,2773602757.0,1,TOYS
7,145564,Sunday,20108700000.0,1,SERVICE DELI
37,54737,Saturday,4140900243.0,2,PRODUCE
40,46303,Friday,7518205048.0,1,IMPULSE MERCHANDISE
5,15689,Sunday,36816310162.0,1,PHARMACY OTC
40,33913,Wednesday,7874209387.0,1,DAIRY
39,180670,Saturday,1131175108.0,1,LADIESWEAR
39,42770,Thursday,1600041481.0,1,GROCERY DRY GOODS
39,35742,Wednesday,7092047538.0,1,GROCERY DRY GOODS
37,62938,Sunday,60502100061.0,1,GROCERY DRY GOODS
38,106176,Sunday,5020000880.0,1,DAIRY
7,152184,Monday,3940001977.0,3,GROCERY DRY GOODS
38,183456,Saturday,6150000861.0,1,DSD GROCERY
29,16504,Sunday,4031.0,1,PRODUCE
25,48652,Friday,7084781116.0,1,DSD GROCERY
44,142902,Saturday,4650070273.0,1,HOUSEHOLD CHEMICALS/SUPP
40,54988,Saturday,3345611314.0,1,DAIRY
37,6660,Saturday,7874235187.0,2,DAIRY
36,160195,Tuesday,7874208990.0,1,HOUSEHOLD PAPER GOODS
6,158025,Tuesday,1230000093.0,1,"CANDY, TOBACCO, COOKIES"
40,61007,Sunday,20004900000.0,2,BAKERY
44,119240,Wednesday,1132111845.0,1,SHEER HOSIERY
40,54515,Saturday,7874211488.0,1,COMM BREAD
9,168110,Thursday,4816801621.0,1,AUTOMOTIVE
40,30852,Tuesday,2840042179.0,1,DSD GROCERY
40,97308,Saturday,4100000301.0,2,GROCERY DRY GOODS
37,29694,Tuesday,4011.0,1,PRODUCE
39,185288,Sunday,7287928204.0,1,FABRICS AND CRAFTS
39,13653,Sunday,7010910300.0,1,BAKERY
32,153753,Monday,72122402190.0,1,INFANT APPAREL
40,90834,Friday,8520000125.0,3,"LIQUOR,WINE,BEER"
39,134102,Friday,88392946882.0,1,MEDIA AND GAMING
36,7757,Saturday,7410893559.0,1,PERSONAL CARE
5,178054,Saturday,7874220164.0,1,BAKERY
39,156388,Tuesday,68113138807.0,1,PRODUCE
40,116972,Tuesday,2840006399.0,1,DSD GROCERY
37,179710,Saturday,88828940186.0,1,PRODUCE
34,92925,Friday,78436972262.0,2,PETS AND SUPPLIES
38,64852,Monday,4400003338.0,1,DSD GROCERY
40,97750,Saturday,5000096016.0,1,PETS AND SUPPLIES
39,36657,Wednesday,3700023756.0,1,HOUSEHOLD PAPER GOODS
39,144412,Sunday,75928367321.0,1,FROZEN FOODS
40,133798,Friday,1820000081.0,2,"LIQUOR,WINE,BEER"
40,78191,Wednesday,1111100514.0,1,PERSONAL CARE
39,7467,Saturday,7874298835.0,1,BAKERY
44,113021,Tuesday,9243715201.0,1,PHARMACY OTC
39,174683,Friday,3800040280.0,1,FROZEN FOODS
37,146390,Sunday,1800081778.0,1,DAIRY
42,92686,Friday,9674145992.0,1,HOME DECOR
38,99117,Saturday,7874211433.0,1,DSD GROCERY
40,189264,Sunday,3800032751.0,-1,GROCERY DRY GOODS
40,69405,Monday,4650073175.0,1,IMPULSE MERCHANDISE
31,15300,Sunday,68113102889.0,1,WIRELESS
40,157524,Tuesday,3010010055.0,1,DSD GROCERY
40,47368,Friday,2430003185.0,1,GROCERY DRY GOODS
9,44176,Friday,64541699005.0,1,CELEBRATION
38,37313,Wednesday,4011.0,1,PRODUCE
40,111211,Monday,7007700106.0,1,FROZEN FOODS
25,74967,Tuesday,78665840854.0,1,"GIRLS WEAR, 4-6X  AND 7-14"
24,62956,Sunday,7600137518.0,1,HOME DECOR
7,107567,Monday,7105400003.0,1,GROCERY DRY GOODS
24,175775,Friday,71997894653.0,1,COOK AND DINE
38,136019,Friday,3800057608.0,1,GROCERY DRY GOODS
32,160518,Tuesday,3408663825.0,1,BEDDING
37,51450,Saturday,3338311000.0,1,PRODUCE
36,108691,Monday,60308421963.0,1,PERSONAL CARE
40,38978,Thursday,66106100001.0,2,PRODUCE
999,151905,Monday,1089258022.0,-1,HOME DECOR
38,160727,Tuesday,88491200392.0,1,GROCERY DRY GOODS
40,62075,Sunday,1864325604.0,1,COOK AND DINE
7,178923,Saturday,22500900000.0,1,SERVICE DELI
42,142140,Saturday,60538817648.0,1,SHOES
40,70870,Tuesday,60538818715.0,1,DAIRY
24,93913,Saturday,4266610708.0,1,FURNITURE
40,150782,Monday,4133500125.0,1,GROCERY DRY GOODS
40,80143,Wednesday,4011.0,1,PRODUCE
43,50399,Saturday,60538817677.0,1,SHOES
24,126357,Thursday,8609326694.0,1,HOME DECOR
40,19266,Sunday,4112949132.0,2,GROCERY DRY GOODS
40,1638,Friday,1800000918.0,1,DAIRY
39,77312,Wednesday,74236526435.0,1,DAIRY
40,186707,Sunday,5000029327.0,2,PETS AND SUPPLIES
40,83067,Thursday,775014200016.0,1,PRODUCE
40,102424,Sunday,4011.0,1,PRODUCE
38,2338,Friday,18778700092.0,1,DAIRY
40,66617,Monday,7874222803.0,1,GROCERY DRY GOODS
39,100380,Sunday,7874204010.0,1,HOUSEHOLD PAPER GOODS
38,159313,Tuesday,7456200202.0,1,DAIRY
40,156304,Tuesday,60538871461.0,1,DAIRY
40,66550,Monday,84820200015.0,2,COOK AND DINE
8,155179,Monday,2840007094.0,1,DSD GROCERY
36,24609,Monday,4332401526.0,1,PETS AND SUPPLIES
38,41131,Thursday,7874235322.0,1,GROCERY DRY GOODS
39,92494,Friday,31015884030.0,1,PERSONAL CARE
37,9019,Saturday,22008400000.0,1,MEAT - FRESH & FROZEN
24,89968,Friday,4011.0,1,PRODUCE
40,53641,Saturday,3997800375.0,1,GROCERY DRY GOODS
26,1841,Friday,4900002468.0,2,DSD GROCERY
40,132158,Friday,7239231926.0,1,DSD GROCERY
5,79437,Wednesday,,1,PHARMACY RX
40,16247,Sunday,7874237001.0,1,GROCERY DRY GOODS
37,77208,Wednesday,4065.0,1,PRODUCE
40,156051,Tuesday,68113192823.0,1,PHARMACY OTC
25,128237,Thursday,88786030655.0,1,LADIESWEAR
21,15767,Sunday,8019630511.0,1,PHARMACY OTC
40,116366,Tuesday,7962507219.0,1,PERSONAL CARE
24,27367,Tuesday,695433882013.0,1,FURNITURE
40,77450,Wednesday,4050.0,1,PRODUCE
39,98914,Saturday,3400013850.0,1,"CANDY, TOBACCO, COOKIES"
39,4211,Friday,84010917488.0,1,IMPULSE MERCHANDISE
40,183101,Saturday,3400004274.0,1,"CANDY, TOBACCO, COOKIES"
40,160093,Tuesday,7046209835.0,1,"CANDY, TOBACCO, COOKIES"
36,180038,Saturday,3123211177.0,1,PERSONAL CARE
40,16614,Sunday,8019600448.0,1,PHARMACY OTC
40,74005,Tuesday,3600001003.0,1,PHARMACY OTC
37,23717,Monday,88828940302.0,1,PRODUCE
40,123534,Wednesday,7874298393.0,1,BAKERY
37,55404,Saturday,69922162117.0,1,COMM BREAD
8,112862,Tuesday,7800008340.0,1,DSD GROCERY
40,190098,Sunday,7615033230.0,1,DSD GROCERY
40,142223,Saturday,5210037160.0,1,GROCERY DRY GOODS
40,144018,Sunday,81547301188.0,2,DAIRY
40,47202,Friday,1600048366.0,1,GROCERY DRY GOODS
40,135754,Friday,3700017902.0,1,PHARMACY OTC
41,123159,Wednesday,7314929329.0,1,HOME MANAGEMENT
40,79626,Wednesday,1111177136.0,1,PERSONAL CARE
40,186744,Sunday,74759930665.0,1,"CANDY, TOBACCO, COOKIES"
37,171834,Thursday,4011.0,1,PRODUCE
35,183125,Saturday,1480000023.0,4,GROCERY DRY GOODS
39,4074,Friday,3862211635.0,1,COMM BREAD
26,146692,Sunday,7874235209.0,1,DSD GROCERY
6,46597,Friday,3410000007.0,1,"LIQUOR,WINE,BEER"
37,55208,Saturday,4409.0,1,PRODUCE
40,15638,Sunday,4048.0,1,PRODUCE
40,137756,Saturday,7800002036.0,2,DSD GROCERY
35,117944,Tuesday,4900004712.0,1,DSD GROCERY
25,30248,Tuesday,9933894430.0,1,LADIESWEAR
5,60377,Sunday,,1,PHARMACY RX
44,18427,Sunday,2616903077.0,1,BEAUTY
39,168960,Thursday,7874208676.0,2,DAIRY
37,11695,Saturday,22148500000.0,1,MEAT - FRESH & FROZEN
40,97476,Saturday,63084090323.0,1,PERSONAL CARE
40,42762,Thursday,81434801463.0,2,COOK AND DINE
7,126972,Thursday,9047841002.0,1,GROCERY DRY GOODS
32,24909,Monday,87040200045.0,1,PERSONAL CARE
37,136575,Friday,4600040621.0,1,GROCERY DRY GOODS
40,189832,Sunday,4178900211.0,2,GROCERY DRY GOODS
8,74827,Tuesday,7874211813.0,1,GROCERY DRY GOODS
999,81618,Thursday,3663201944.0,-1,DAIRY
40,74852,Tuesday,1070055686.0,1,"CANDY, TOBACCO, COOKIES"
40,50045,Saturday,3700085983.0,1,HOUSEHOLD PAPER GOODS
40,85110,Thursday,7874209655.0,1,DSD GROCERY
9,75150,Tuesday,7314928309.0,1,HOME MANAGEMENT
39,91740,Friday,7048599866.0,1,HOUSEHOLD PAPER GOODS
39,140603,Saturday,3700028609.0,1,HOUSEHOLD CHEMICALS/SUPP
40,118734,Tuesday,4400002735.0,1,DSD GROCERY
39,65318,Monday,2100000667.0,1,DAIRY
8,147231,Sunday,7084781116.0,1,DSD GROCERY
37,97601,Saturday,3338320027.0,1,PRODUCE
39,87190,Friday,88496807198.0,3,MENS WEAR
3,65147,Monday,60538819035.0,1,FINANCIAL SERVICES
25,8161,Saturday,76789854618.0,1,MENS WEAR
40,114346,Tuesday,7641090024.0,1,DSD GROCERY
38,84350,Thursday,4900005025.0,2,DSD GROCERY
41,143342,Saturday,7048508910.0,1,COOK AND DINE
37,5595,Friday,22592200000.0,1,MEAT - FRESH & FROZEN
40,74316,Tuesday,1111126270.0,1,PERSONAL CARE
39,191346,Sunday,3700091229.0,1,HOUSEHOLD CHEMICALS/SUPP
40,153862,Monday,3940001972.0,1,GROCERY DRY GOODS
5,166262,Wednesday,60538802294.0,1,PHARMACY OTC
39,132806,Friday,4470000004.0,2,PRE PACKED DELI
40,15709,Sunday,7192191198.0,1,FROZEN FOODS
39,171162,Thursday,31284355507.0,1,PHARMACY OTC
